ISSUER_ID,ISSUER_NAME,LOCATION_NAME,LOCATION_ADDRESS,LATITUDE,LONGITUDE,COUNTRY,COUNTRY_ISO3,POSTCODE,STATE,CITY,SOURCE_URL,SOURCE_TYPE,ACTIVITY_AT_SOURCE,coord_source,LOCATION_NAME_NATIVE,LOCATION_ADDRESS_NATIVE
IID000000002921087,HAIDILAO INTERNATIONAL HOLDING LTD.,Haidilao Hot Pot (Jianghua City Store),"Shop No. 02, 5th Floor, Jianghua City Shopping Center, No. 88, Xing'an Middle Road, Laocheng Office, Hanbin District, Ankang City, Shaanxi Province",32.692102163654,109.0238432041,China,CHN,,,Ankang City,https://www.haidilao.com/serve/storeSearch,COMPANY WEBSITE,Restaurant,Website,海底捞火锅（江华城店）,陕西省安康市汉滨区老城办兴安中路88号江华城购物中心5层02号商铺
IID000000002921087,HAIDILAO INTERNATIONAL HOLDING LTD.,The Londoner Store,"Shop 1048a, First Floor, The Londoner Macau, Cotai Highway, Macau SAR",22.139991738277,113.559448460326,Macau,MAC,,,Macau,https://www.haidilao.com/serve/storeSearch,COMPANY WEBSITE,Restaurant,Website,伦敦人店,澳门特别行政区路氹连贯公路澳门伦敦人购物中心一楼1048a商铺
IID000000002921087,HAIDILAO INTERNATIONAL HOLDING LTD.,Haidilao Venetian Store,"Shop 1036A, Level 1, Shoppes at Venetian, Macau",22.146416445301,113.565423465403,Macau,MAC,,,Macau,https://www.haidilao.com/serve/storeSearch,COMPANY WEBSITE,Restaurant,Website,海底撈威尼斯人店,"澳門望德聖母灣大馬路威尼斯人購物中心一樓1036a舖 Shop 1036A, Level 1, Shoppes at Venetian"
IID000000002921087,HAIDILAO INTERNATIONAL HOLDING LTD.,Haidilao Hot Pot (Wuyue Plaza Store),"Shop No. 3025-1, 3rd Floor, Wuyue Plaza, No. 1, Linghu South Road, Huazhong Road Street, Yingjiang District, Anqing City, Anhui Province",30.514183559035,117.077107904164,China,CHN,,,Anqing City,https://www.haidilao.com/serve/storeSearch,COMPANY WEBSITE,Restaurant,Website,海底捞火锅（吾悦广场店）,安徽省安庆市迎江区华中路街道菱湖南路1号吾悦广场3层3025-1号商铺
IID000000002921087,HAIDILAO INTERNATIONAL HOLDING LTD.,Haidilao Hot Pot (China Resources Wanxianghui Store),"No. L458, Floor L4, Anshan China Resources Wanxianghui, No. 700 Jianguo Avenue, Tiedong District, Anshan City, Liaoning Province",41.111099562254,122.986369649324,China,CHN,,,Anshan City,https://www.haidilao.com/serve/storeSearch,COMPANY WEBSITE,Restaurant,Website,海底捞火锅（华润万象汇店）,辽宁省鞍山市铁东区建国大道700号鞍山华润万象汇L4层L458号
IID000000002921087,HAIDILAO INTERNATIONAL HOLDING LTD.,Haidilao Hot Pot (Impression Hui Store),"No. 04, 4th Floor, Anyang Impression Hui, No. 80 Hongqi Road, Beiguan District, Anyang City, Henan Province",36.110215584144,114.353333145898,China,CHN,,,Anyang City,https://www.haidilao.com/serve/storeSearch,COMPANY WEBSITE,Restaurant,Website,海底捞火锅（印象汇店）,河南省安阳市北关区红旗路80号安阳印象汇4楼04号
IID000000002921087,HAIDILAO INTERNATIONAL HOLDING LTD.,Haidilao Hotpot (Wuyue Plaza Store),"No. Z17, fourth floor, Wuyue Plaza, northeast corner of the intersection of Guangming Road and Tongxing Street, Zhonghua Road Street, Wenfeng District, Anyang City, Henan Province",36.078404852511,114.415783059378,China,CHN,,,Anyang City,https://www.haidilao.com/serve/storeSearch,COMPANY WEBSITE,Restaurant,Website,海底捞火锅（吾悦广场店）,河南省安阳市文峰区中华路街道光明路与同兴街交叉口东北角吾悦广场四楼Z17号
IID000000002921087,HAIDILAO INTERNATIONAL HOLDING LTD.,Haidilao Hot Pot (Intime Department Store),"Fifth Floor, Intime City, No. 4000 Donghai Avenue, Bengbu City",32.916949587225,117.369394048352,China,CHN,,,Bengbu City,https://www.haidilao.com/serve/storeSearch,COMPANY WEBSITE,Restaurant,Website,海底捞火锅（银泰百货店）,蚌埠市东海大道4000号银泰城五层
IID000000002921087,HAIDILAO INTERNATIONAL HOLDING LTD.,Haidilao Hot Pot (Wuyue Plaza Store),"Haidilao Hot Pot, 2nd Floor, Wuyue Plaza, No. 750 Jiefang Road, Xuehua Township (Hongye Village Street), Bengshan District, Bengbu City, Anhui Province",32.932981058563,117.390163241726,China,CHN,,,Bengbu City,https://www.haidilao.com/serve/storeSearch,COMPANY WEBSITE,Restaurant,Website,海底捞火锅（吾悦广场店）,安徽省蚌埠市蚌山区雪华乡(宏业村街道)解放路750号吾悦广场2层海底捞火锅
IID000000002921087,HAIDILAO INTERNATIONAL HOLDING LTD.,Haidilao Hot Pot (Fanyang Middle Road Junyue Plaza Store),"Fourth Floor, Junyue Plaza, No. 590 Fanyang Middle Road, Development Zone, Zhuozhou City, Hebei Province",39.484367749573,116.030372426065,China,CHN,,,Baoding City,https://www.haidilao.com/serve/storeSearch,COMPANY WEBSITE,Restaurant,Website,海底捞火锅（范阳中路君悦广场店）,河北省涿州市开发区范阳中路590号君悦广场四楼
